pattern,tag,response,,,,,
Hai,greetings,Hai. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Hai,greetings,Hai. Apa yang membawamu ke sini hari ini?,,,,,
Hai,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
Hai,greetings,Senang bertemu denganmu. Bagaimana perasaanmu saat ini?,,,,,
Hai,greetings,Hai. Senang melihatmu kembali. Apa yang terjadi...,,,,,
Hai,greetings,Hai. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Hai,greetings,Hai. Apa yang membawamu ke sini hari ini?,,,,,
Hai,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
Hai,greetings,Senang bertemu denganmu. Bagaimana perasaanmu saat ini?,,,,,
Hai,greetings,Hai. Senang melihatmu kembali. Apa yang terjadi...,,,,,
Apakah ada orang di sana?,greetings,Hai. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Apakah ada orang di sana?,greetings,Hai. Apa yang membawamu ke sini hari ini?,,,,,
Apakah ada orang di sana?,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
Apakah ada orang di sana?,greetings,Senang bertemu denganmu. Bagaimana perasaanmu saat ini?,,,,,
Apakah ada orang di sana?,greetings,Hai. Senang melihatmu kembali. Apa yang terjadi...,,,,,
"Hai, yang di sana",greetings,Hai. Ceritakan bagaimana perasaanmu hari ini?,,,,,
"Hai, yang di sana",greetings,Hai. Apa yang membawamu ke sini hari ini?,,,,,
"Hai, yang di sana",greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
"Hai, yang di sana",greetings,Senang bertemu denganmu. Bagaimana perasaanmu saat ini?,,,,,
"Hai, yang di sana",greetings,Halo yang disana. Katakan padaku bagaimana perasaanmu hari ini?,,,,,
Halo,greetings,Halo. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Halo,greetings,Hai. Ada apa yang membawamu ke sini hari ini?,,,,,
Halo,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
Halo,greetings,Senang melihatmu. Bagaimana perasaanmu saat ini?,,,,,
Halo,greetings,Halo. Senang melihatmu kembali. Apa yang terjadi...,,,,,
Halo,greetings,Halo. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Halo,greetings,Hai. Ada apa yang membawamu ke sini hari ini?,,,,,
Halo,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
Halo,greetings,Senang melihatmu. Bagaimana perasaanmu saat ini?,,,,,
Halo,greetings,Halo. Senang melihatmu kembali. Apa yang terjadi...,,,,,
Howdy,greetings,Hai. Ceritakan bagaimana perasaanmu hari ini?,,,,,
Howdy,greetings,Hai. Ada apa yang membawamu ke sini hari ini?,,,,,
Howdy,greetings,Hai. Bagaimana perasaanmu hari ini?,,,,,
