No,pesan,label
1,"""udah sy bilang emang dianya yang salah""",marah
2,kalau di cpnel udah kayak gt gak bisa,marah
3,Anak anak di grub ga terima masuk,marah
4,itulah kalo hari ngebos mahasiswanya. dia ga ngerti apa di CI itu ada settingan base URL,marah
5,ini wajib kalau aplikasi berbentuk website /php,marah
6,Liat config webserver nya gt,marah
7,meeting gak ini,marah
8,berarti BAA yang ga pernah inputin,marah
9,Jgn lupa ini ya,marah
10,jangan lupa update nomor handphonenya dulu di SIAP,marah
11,Yg ga ngasih stiker ga ke absen,marah
12,Fahmi mana tadi stiker pak fahrienya ?,marah
13,Yang kamu bagiin di grup,marah
14,harus di proses juga,marah
15,Teung jelek,marah
16,Tinggal yg pandas itu,marah
17,Cobain aja kelas bapak bikin selesai,marah
18,Kalo mau absen lagi tinggal selesai lagi aja pak,marah
19,Itu aja pak,marah
20,Coba ulang pak,marah
21,Udah belum yak,marah
22,lu udah ganti nomor hape di siap belum?,marah
23,udah ganti nomor hape di SIAP?,marah
24,ganti dulu sana terus absen lagi,marah
25,kemane aje bang,marah
26,jadi apa ini hukuman buat si niko,marah
27,ya terus,marah
28,save alias simpan,marah
29,mungkin dikira di plototin aja udah cukup,marah
30,dah semua belum tuh?,marah
31,zzzz,marah
32,ganti nomor jangan lupa,marah
33,ada lagi?,marah
34,Kodingannya ada yg salah,marah
35,Bikin selesai lagi,marah
36,Ko nama saya gaada,marah
37,Saya pak ikrima 1164013,marah
38,Sudah update siap?,marah
39,ga ngerti kenapa jadi bawa bawa bauk,marah
40,oohhh..... ok (tetep ga ngerti juga sih),marah
41,update nomor wa udah?,marah
42,update per jam berapa?,marah
43,baiknya telpon saja,marah
44,Emang sedikit masalah di bauk nya,marah
45,"""Disister udah eligible trus opo""",marah
46,Di tolak,marah
47,Gak jd meeting online,marah
48,iteung gelo,marah
49,iteung sarap,marah
50,iteung jelek,marah
51,sini angga,marah
52,"""Fahrie Di siap ganti pake no ak""",marah
53,tolong di ganti no HP yg ada di SIAP di ganti/disamakan dgn yg ada di whatsapp menggunakan awalan (62),marah
54,Jgn lupa ini..,marah
55,Ikh kamu kemana aja,marah
56,Iteung jelek,marah
57,Iteung bauk,marah
58,Sy tutup ya grup ini,marah
59,Giliean brondong kamu jawab,marah
60,"""Bukti absen silahkan selfie / foto masing2 yg paling bagus ato yg paling jelek..jgn yg biasa / standar""",marah
61,Yang mau absen selfie woy,marah
62,Selfie woy,marah
63,lu,marah
64,Udah diikutin instruksinya?,marah
65,Di siap dh gnti nomor blm?,marah
66,Nomer siap diubah sama nomer wa,marah
67,Saya tunggu 30 menit,marah
68,Pantun jarjit bisa gk pak?,marah
69,Benerin aja,marah
70,Korona gak dimakan cuy,marah
71,tidak bersajak,marah
72,20 menit lg,marah
73,Siapa yg belum,marah
74,Pake pantun lina,marah
75,Comot gugel dul,marah
76,Apa si?,marah
77,Apaan ahmad?,marah
78,"""Oke udah semua belum kita skrf masuk pertemuan berapa ini""",marah
79,"""Tdk ada bukti, berarti tidak vakid""",marah
80,Hey itu bukan pantun,marah
81,Hei apa ini?,marah
82,Udahh cukup pantunnya astaga,marah
83,Udah udah,marah
84,Udah hey,marah
85,Eh,marah
86,Tolong baca modulnya,marah
87,"""oke untuk tugas nanti saya buatkan di VL ya besok saya upload, untuk sekarang kalian istirahat dan pahami modulnya dulu nanti kita ada video conference""",marah
88,Aduh Iteung gimanaa ini?,marah
89,sekarang,marah
90,"""kalau sudah infokan disini ya soalnya robotnya baru di upgdare kemarin lupa saya""",marah
91,"""terima kasih ntar saya perbaiki, brisik amat kamu wkwkw""",marah
92,kan doublke input absensinya kan,marah
93,"""wah kamu pakai no yang mana, trus sesuai dengan formatnya gak""",marah
94,penulsain nama kamu di profile wa,marah
95,R nya di panjangin dan jangan pakai titik bambang,marah
96,kalau gak muat cukup nama depan aja bambang,marah
97,gara gara bambang gak mau disiplin,marah
98,udah ada gak bambang nama kamu,marah
99,jangan bandel lagi ya,marah
100,Udah setting nomor hape?,marah
101,Format international?,marah
102,curiga kayak ikrima ini,marah
103,Bisa jadi,marah
104,kamu udah seusikan format input HP,marah
105,no HP sudah sesuai belum,marah
106,Kemaren sih ga keinput Karena format +62 Ada plusnya Dan belum registrasi,marah
107,ia pakai 62,marah
108,kamu gak aktif si di grub saya lupa,marah
109,lain kali harus aktif di grub,marah
110,tuh lain kali kalau kuliah dimulai harus aktif ya,marah
111,robotnya emang diintruksi yng aktif yang di rekap,marah
112,coba cek no HP kamu kok banyak bener,marah
113,serius itu nomor indonesia raya,marah
114,"""cek lagi udah bener gak, no HP kamu ntr kayak sih bambang faisal kayaknya""",marah
115,nakal,marah
116,no HP kamu berapa buruan,marah
