emosi,emosi_positif,emosi_negatif,sumber,rekomendasi
sangat buruk,[],[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,[],"['marah', 'takut', 'stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],[],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],['marah'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],['takut'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],['stress'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],['kecewa'],sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'takut']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['marah', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['takut', 'stress']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['takut', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
sangat buruk,['antusias'],"['stress', 'kecewa']",sekolah,Ambil waktu sejenak untuk diri sendiri di ruang yang tenang untuk menenangkan pikiran.
