Level_Emosi,Tipe_Emosi,Sumber_Emosi,Pertanyaan_Analisis
Sangat Buruk,Kecewa,Sekolah,Apa yang membuat kamu merasa kecewa di Sekolah? | Apa yang bisa menyebabkan perasaan kecewa kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kecewa? | Apa yang mempengaruhi perasaan kecewa kamu di Sekolah? | Bagaimana kamu bisa mengatasi rasa kecewa setelah situasi yang tidak sesuai harapan di Sekolah? | Apa yang seharusnya bisa diubah untuk menghindari perasaan kecewa di Sekolah?
Sangat Buruk,Frustrasi,Sekolah,"Apa yang membuat kamu merasa frustrasi di Sekolah? | Apa yang bisa menyebabkan perasaan frustrasi kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang frustrasi? | Apa yang mempengaruhi perasaan frustrasi kamu di Sekolah? | Bagaimana kamu mengatasi rasa frustrasi saat mengalami hambatan di Sekolah? | Ketika merasa frustrasi di Sekolah, apa yang bisa kamu lakukan untuk mengurangi perasaan itu?"
Sangat Buruk,Bingung,Sekolah,"Apa yang membuat kamu merasa bingung di Sekolah? | Apa yang bisa menyebabkan perasaan bingung kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bingung? | Apa yang mempengaruhi perasaan bingung kamu di Sekolah? | Jika kamu merasa bingung tentang situasi di Sekolah, apa yang kamu lakukan untuk mencari kejelasan? | Bagaimana kamu bisa mengatasi kebingungan di Sekolah agar bisa mengambil keputusan dengan lebih baik?"
Sangat Buruk,Bahagia,Sekolah,"Apa yang membuat kamu merasa bahagia di Sekolah? | Apa yang bisa menyebabkan perasaan bahagia kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang bahagia? | Apa yang mempengaruhi perasaan bahagia kamu di Sekolah? | Ketika kamu merasa bahagia di Sekolah, apa yang ingin kamu lakukan untuk membagikan kebahagiaan itu? | Apa yang membuat kamu merasa bahagia di Sekolah, dan bagaimana kamu bisa menjaga perasaan itu?"
Sangat Buruk,Cemas,Sekolah,"Apa yang membuat kamu merasa cemas di Sekolah? | Apa yang bisa menyebabkan perasaan cemas kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang cemas? | Apa yang mempengaruhi perasaan cemas kamu di Sekolah? | Apa yang membuat kamu merasa cemas saat berada di Sekolah, dan bagaimana kamu menghadapinya? | Bagaimana cara kamu mengurangi kecemasan saat menghadapi tugas atau ujian di Sekolah?"
Sangat Buruk,Marah,Sekolah,"Apa yang membuat kamu merasa marah di Sekolah? | Apa yang bisa menyebabkan perasaan marah kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang marah? | Apa yang mempengaruhi perasaan marah kamu di Sekolah? | Ketika marah di Sekolah, bagaimana kamu bisa mengontrol perasaan itu agar tidak merugikan diri sendiri? | Apa yang bisa kamu lakukan untuk meredakan rasa marah saat situasi di Sekolah membuatmu kesal?"
Sangat Buruk,Kesal,Sekolah,"Apa yang membuat kamu merasa kesal di Sekolah? | Apa yang bisa menyebabkan perasaan kesal kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang kesal? | Apa yang mempengaruhi perasaan kesal kamu di Sekolah? | Jika merasa kesal di Sekolah, apa cara terbaik yang kamu lakukan untuk meredakan perasaan itu? | Bagaimana kamu mengelola rasa kesal saat situasi tidak berjalan sesuai yang diharapkan di Sekolah?"
Sangat Buruk,Sedih,Sekolah,"Apa yang membuat kamu merasa sedih di Sekolah? | Apa yang bisa menyebabkan perasaan sedih kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang sedih? | Apa yang mempengaruhi perasaan sedih kamu di Sekolah? | Apa yang membuat kamu merasa sedih di Sekolah, dan bagaimana cara kamu menghadapinya? | Bagaimana kamu bisa mengatasi perasaan sedih di Sekolah agar tidak mempengaruhi keseharianmu?"
Sangat Buruk,Tertarik,Sekolah,"Apa yang membuat kamu merasa tertarik di Sekolah? | Apa yang bisa menyebabkan perasaan tertarik kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang tertarik? | Apa yang mempengaruhi perasaan tertarik kamu di Sekolah? | Ketika kamu merasa tertarik dengan sesuatu di Sekolah, bagaimana kamu bisa mengeksplorasi lebih lanjut minat tersebut? | Apa yang membuat kamu merasa tertarik di Sekolah, dan bagaimana kamu bisa memanfaatkannya untuk perkembangan diri?"
Sangat Buruk,Optimis,Sekolah,"Apa yang membuat kamu merasa optimis di Sekolah? | Apa yang bisa menyebabkan perasaan optimis kamu di Sekolah? | Bagaimana situasi di Sekolah mempengaruhi perasaan kamu yang optimis? | Apa yang mempengaruhi perasaan optimis kamu di Sekolah? | Bagaimana kamu bisa mempertahankan perasaan optimis saat menghadapi tantangan di Sekolah? | Apa yang membuat kamu merasa optimis di Sekolah, dan bagaimana kamu menjaga pandangan positif tersebut?"
